GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US06001443002,06001443002,"Census Tract 4430.02, Alameda County, California",77167,6338
1400000US06001443102,06001443102,"Census Tract 4431.02, Alameda County, California",143889,11659
1400000US06001443103,06001443103,"Census Tract 4431.03, Alameda County, California",218080,24056
1400000US06001443104,06001443104,"Census Tract 4431.04, Alameda County, California",121691,16978
1400000US06001443105,06001443105,"Census Tract 4431.05, Alameda County, California",159432,16681
1400000US06001443200,06001443200,"Census Tract 4432, Alameda County, California",210320,43437
1400000US06001443301,06001443301,"Census Tract 4433.01, Alameda County, California",146207,21522
1400000US06001443321,06001443321,"Census Tract 4433.21, Alameda County, California",97857,18742
1400000US06001443322,06001443322,"Census Tract 4433.22, Alameda County, California",138170,21718
1400000US06001444100,06001444100,"Census Tract 4441, Alameda County, California",91942,9390
1400000US06001444200,06001444200,"Census Tract 4442, Alameda County, California",84974,6110
1400000US06001444301,06001444301,"Census Tract 4443.01, Alameda County, California",95042,18234
1400000US06001444302,06001444302,"Census Tract 4443.02, Alameda County, California",73777,14836
1400000US06001444400,06001444400,"Census Tract 4444, Alameda County, California",80903,13425
1400000US06001444500,06001444500,"Census Tract 4445, Alameda County, California",76998,7042
1400000US06001444601,06001444601,"Census Tract 4446.01, Alameda County, California",98625,13255
1400000US06001444602,06001444602,"Census Tract 4446.02, Alameda County, California",98636,15894
1400000US06001450101,06001450101,"Census Tract 4501.01, Alameda County, California",125194,11539
1400000US06001450102,06001450102,"Census Tract 4501.02, Alameda County, California",132708,10657
1400000US06001450200,06001450200,"Census Tract 4502, Alameda County, California",92466,12100
1400000US06001450300,06001450300,"Census Tract 4503, Alameda County, California",106494,9334
1400000US06001450400,06001450400,"Census Tract 4504, Alameda County, California",91083,14917
1400000US06001450501,06001450501,"Census Tract 4505.01, Alameda County, California",107417,31214
1400000US06001450502,06001450502,"Census Tract 4505.02, Alameda County, California",139655,19825
1400000US06001450601,06001450601,"Census Tract 4506.01, Alameda County, California",124722,29974
1400000US06001450602,06001450602,"Census Tract 4506.02, Alameda County, California",133899,6558
1400000US06001450603,06001450603,"Census Tract 4506.03, Alameda County, California",127125,7899
1400000US06001450604,06001450604,"Census Tract 4506.04, Alameda County, California",122961,17480
1400000US06001450605,06001450605,"Census Tract 4506.05, Alameda County, California",119844,9724
1400000US06001450606,06001450606,"Census Tract 4506.06, Alameda County, California",146140,15519
1400000US06001450607,06001450607,"Census Tract 4506.07, Alameda County, California",80806,22106
1400000US06001450701,06001450701,"Census Tract 4507.01, Alameda County, California",180291,27775
1400000US06001450741,06001450741,"Census Tract 4507.41, Alameda County, California",101068,15087
1400000US06001450742,06001450742,"Census Tract 4507.42, Alameda County, California",118646,7836
1400000US06001450743,06001450743,"Census Tract 4507.43, Alameda County, California",92188,18370
1400000US06001450744,06001450744,"Census Tract 4507.44, Alameda County, California",120284,14956
1400000US06001450745,06001450745,"Census Tract 4507.45, Alameda County, California",152014,20055
1400000US06001450746,06001450746,"Census Tract 4507.46, Alameda County, California",115000,17101
1400000US06001450750,06001450750,"Census Tract 4507.50, Alameda County, California",84091,12685
1400000US06001450751,06001450751,"Census Tract 4507.51, Alameda County, California",179523,16356
1400000US06001450752,06001450752,"Census Tract 4507.52, Alameda County, California",162891,19658
1400000US06001451101,06001451101,"Census Tract 4511.01, Alameda County, California",136280,27821
1400000US06001451102,06001451102,"Census Tract 4511.02, Alameda County, California",141713,19348
1400000US06001451201,06001451201,"Census Tract 4512.01, Alameda County, California",91446,7157
1400000US06001451202,06001451202,"Census Tract 4512.02, Alameda County, California",110391,20641
1400000US06001451300,06001451300,"Census Tract 4513, Alameda County, California",105238,19111
1400000US06001451401,06001451401,"Census Tract 4514.01, Alameda County, California",91250,15301
