,AFFGEOID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME.1,LSAD,ALAND,AWATER,AREA,PERIMETER,CAABA_,CAABA_ID,NAME.2,Total,White,Black,AIndian,Asian,Hawaiian,Max,residuals,div,Diversity,mean.partmat
939,1400000US06037278001,6,37,278001,6037278001,2780.01,CT,1614002,779,18037550502,1379632.843,19,18,South Coast,2371,1853,98,65,190,13,1853,-865.5644198,0.781526782,0.218473218,11.93832763
952,1400000US06037293304,6,37,293304,6037293304,2933.04,CT,569496,0,18037550502,1379632.843,19,18,South Coast,4460,2245,243,45,685,99,2245,-437.592514,0.503363229,0.496636771,10.96791852
1041,1400000US06037310601,6,37,310601,6037310601,3106.01,CT,1027668,0,18037550502,1379632.843,19,18,South Coast,6454,3689,84,54,1535,0,3689,966.9624306,0.571583514,0.428416486,11.99386993
1068,1400000US06037400402,6,37,400402,6037400402,4004.02,CT,4388948,0,18037550502,1379632.843,19,18,South Coast,4429,3438,72,0,515,0,3438,712.9854453,0.77624746,0.22375254,13.39639551
1080,1400000US06037401102,6,37,401102,6037401102,4011.02,CT,1282147,0,18037550502,1379632.843,19,18,South Coast,2921,2138,58,9,219,0,2138,-590.4877042,0.731941116,0.268058884,13.26400239
1098,1400000US06037402001,6,37,402001,6037402001,4020.01,CT,1458712,0,18037550502,1379632.843,19,18,South Coast,3308,1702,315,12,772,0,1702,-962.7306021,0.514510278,0.485489722,13.2268826
1174,1400000US06037404802,6,37,404802,6037404802,4048.02,CT,1042383,0,18037550502,1379632.843,19,18,South Coast,4766,1375,169,45,1057,115,1375,-1325.95059,0.288501888,0.711498112,12.09533611
1199,1400000US06037406300,6,37,406300,6037406300,4063,CT,5078216,4067,18037550502,1379632.843,19,18,South Coast,5595,2144,199,0,2196,0,2196,-549.5081268,0.392493298,0.607506702,12.35410861
1247,1400000US06037408401,6,37,408401,6037408401,4084.01,CT,1158806,0,18037550502,1379632.843,19,18,South Coast,4600,2570,29,6,1015,15,2570,-165.6820854,0.558695652,0.441304348,11.64712272
1260,1400000US06037408630,6,37,408630,6037408630,4086.3,CT,678480,0,18037550502,1379632.843,19,18,South Coast,2682,1580,0,0,500,0,1580,-1162.876467,0.589112603,0.410887397,11.50605567
