site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
2943,-,2016-04-30,21,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,22,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
2943,-,2016-04-30,23,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Lake Elsinore-W Flint Street 
3702,-,2016-04-30,0,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Mira Loma Van Buren 
3702,-,2016-04-30,1,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Mira Loma Van Buren 
3702,-,2016-04-30,2,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Mira Loma Van Buren 
3702,-,2016-04-30,3,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Mira Loma Van Buren 
3702,-,2016-04-30,4,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Mira Loma Van Buren 
3702,-,2016-04-30,5,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Mira Loma Van Buren 
3702,-,2016-04-30,6,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Mira Loma Van Buren 
3702,-,2016-04-30,7,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Mira Loma Van Buren 
3702,-,2016-04-30,8,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Mira Loma Van Buren 
3702,-,2016-04-30,9,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Mira Loma Van Buren 
3702,-,2016-04-30,10,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Mira Loma Van Buren 
