AFFGEOID,Total,White,Black,AIndian,Asian,Hawaiian,Max,Diversity
1400000US06001436200,4107,1949,667,12,258,61,1949,0.474555637
1400000US06001436300,7473,2931,1213,104,1400,94,2931,0.392211963
1400000US06001436401,7809,4211,1128,0,1136,0,4211,0.539249584
1400000US06001436402,2741,1471,465,38,263,7,1471,0.536665451
1400000US06001436500,4536,1652,853,100,889,131,1652,0.364197531
1400000US06001436601,6223,2535,789,20,646,167,2535,0.407359794
1400000US06001436602,5346,1838,1104,13,1107,28,1838,0.343808455
1400000US06001436700,3680,1094,366,0,1106,0,1106,0.300543478
1400000US06001436800,4148,1479,663,37,842,0,1479,0.356557377
1400000US06001436900,6577,3096,237,206,908,86,3096,0.470731336
1400000US06001437000,3182,1488,601,56,631,136,1488,0.467630421
1400000US06001437101,6283,1818,307,0,3389,135,3389,0.53939201
1400000US06001437102,4234,1193,533,0,1514,29,1514,0.357581483
1400000US06001437200,7458,2449,1012,57,2580,7,2580,0.345937249
1400000US06001437300,3331,1102,506,77,794,269,1102,0.330831582
1400000US06001437400,3187,1536,41,15,649,150,1536,0.481957954
1400000US06001437500,4444,2040,233,10,585,164,2040,0.459045905
1400000US06001437600,3957,1829,379,0,637,148,1829,0.462218853
1400000US06001437701,3832,1490,375,17,404,345,1490,0.388830898
1400000US06001437702,5013,2471,356,117,388,123,2471,0.492918412
1400000US06001437800,4585,1105,502,20,1141,181,1141,0.248854962
1400000US06001437900,2225,812,281,24,296,102,812,0.36494382
1400000US06001438000,3307,1960,22,9,671,0,1960,0.592682189
1400000US06001438100,7261,2745,843,0,1946,219,2745,0.378047101
1400000US06001438201,5071,2265,344,0,1100,146,2265,0.446657464
1400000US06001438203,4384,977,395,18,2021,126,2021,0.460994526
1400000US06001438204,5338,1930,410,31,2294,107,2294,0.42974897
1400000US06001438300,4133,1351,410,5,1384,107,1384,0.334865715
1400000US06001438400,2476,999,318,3,795,31,999,0.403473344
1400000US06001440100,2503,1033,113,0,973,10,1033,0.412704754
1400000US06001440200,6167,1483,191,0,922,65,1483,0.240473488
1400000US06001440301,6870,2160,609,80,2436,17,2436,0.354585153
1400000US06001440304,5106,783,230,48,3178,67,3178,0.622405014
1400000US06001440305,4020,795,330,45,2019,258,2019,0.502238806
1400000US06001440306,3934,539,214,53,2517,75,2517,0.639806812
1400000US06001440307,4038,1550,199,26,1973,0,1973,0.488608222
1400000US06001440308,5562,1297,263,16,2467,23,2467,0.443545487
1400000US06001440331,3619,571,210,5,2160,81,2160,0.596849959
1400000US06001440332,3565,395,51,9,2539,183,2539,0.712201964
1400000US06001440333,2811,500,223,11,1796,19,1796,0.638918534
1400000US06001440334,4433,736,198,0,2583,73,2583,0.582675389
1400000US06001440335,6744,1235,101,66,4160,58,4160,0.616844603
1400000US06001440336,4955,1188,585,12,2436,57,2436,0.491624622
1400000US06001441100,4152,1946,80,40,1328,13,1946,0.468689788
1400000US06001441200,7398,3338,475,72,2769,0,3338,0.451203028
1400000US06001441301,3203,939,319,7,1653,0,1653,0.516078676
1400000US06001441302,5435,2123,201,71,2316,18,2316,0.426126955
1400000US06001441401,7336,2200,287,20,3616,240,3616,0.492911668
1400000US06001441402,5229,1521,127,103,2800,0,2800,0.535475234
1400000US06001441501,6633,675,546,38,4766,69,4766,0.718528569
1400000US06001441503,6173,450,174,18,5107,68,5107,0.82731249
1400000US06001441521,6173,1227,260,18,4239,0,4239,0.686700146
1400000US06001441522,5157,1400,285,37,2804,11,2804,0.543726973
1400000US06001441523,4008,507,174,40,2916,32,2916,0.72754491
1400000US06001441524,4336,345,189,66,3583,58,3583,0.826337638
1400000US06001441601,4815,2017,191,15,1612,160,2017,0.418899273
1400000US06001441602,7882,1994,540,0,2976,48,2976,0.377569145
1400000US06001441700,7628,2624,522,44,2411,41,2624,0.343995805
1400000US06001441800,7065,2729,97,105,3073,15,3073,0.434961076
1400000US06001441921,3842,1179,180,66,1631,0,1631,0.42451848
1400000US06001441923,5452,1207,270,0,3429,0,3429,0.628943507
1400000US06001441924,7274,3016,35,43,3399,0,3399,0.467280726
1400000US06001441925,6042,1344,183,84,3579,9,3579,0.592353525
1400000US06001441926,4220,946,201,12,1599,39,1599,0.378909953
1400000US06001441927,4257,612,285,0,2816,0,2816,0.661498708
1400000US06001442000,3226,791,4,0,2211,11,2211,0.685368878
1400000US06001442100,4988,1014,35,37,3693,0,3693,0.740376905
1400000US06001442200,6702,1614,45,0,4631,0,4631,0.690987765
1400000US06001442301,4552,1377,316,35,2250,0,2250,0.494288225
1400000US06001442302,5426,1628,427,29,2611,12,2611,0.481201622
1400000US06001442400,6947,2514,283,57,2360,78,2514,0.361882827
1400000US06001442500,7614,2782,496,80,3141,99,3141,0.412529551
1400000US06001442601,3606,1678,130,0,1179,0,1678,0.465335552
1400000US06001442602,4926,2077,254,9,1576,38,2077,0.421640276
1400000US06001442700,3180,1774,31,44,956,0,1774,0.557861635
1400000US06001442800,3143,1508,136,0,1029,0,1508,0.479796373
1400000US06001442900,7797,2999,347,13,2689,106,2999,0.384635116
1400000US06001443001,2988,1171,53,0,813,41,1171,0.391900937
1400000US06001443002,6158,1941,16,22,2825,12,2825,0.458752842
1400000US06001443102,5128,975,16,7,3664,51,3664,0.71450858
1400000US06001443103,4005,389,89,14,3338,0,3338,0.833458177
1400000US06001443104,5699,1078,54,19,4173,19,4173,0.732233725
1400000US06001443105,4360,712,78,13,3356,39,3356,0.769724771
1400000US06001443200,3522,710,10,9,2412,13,2412,0.68483816
1400000US06001443301,4162,1061,117,18,2583,0,2583,0.620615089
1400000US06001443321,3125,604,84,0,2332,0,2332,0.74624
1400000US06001443322,3323,823,79,25,2140,43,2140,0.643996389
1400000US06001444100,7540,4000,101,7,1777,214,4000,0.530503979
1400000US06001444200,6524,2457,298,0,1707,198,2457,0.376609442
1400000US06001444301,3900,1627,95,18,1147,96,1627,0.417179487
1400000US06001444302,4744,1483,127,43,1113,0,1483,0.312605396
1400000US06001444400,4816,1493,171,61,979,0,1493,0.310008306
1400000US06001444500,6846,2334,613,2,2177,7,2334,0.34092901
1400000US06001444601,5028,2063,325,68,1794,55,2063,0.410302307
1400000US06001444602,4237,1075,286,6,2173,0,2173,0.512862875
1400000US06001450101,4450,1821,301,7,1887,16,1887,0.424044944
1400000US06001450102,7798,2520,1651,124,1812,53,2520,0.323159785
1400000US06001450200,5026,2999,230,0,1270,11,2999,0.596697175
1400000US06001450300,5045,3059,292,87,1177,0,3059,0.606342914
1400000US06001450400,5974,4193,81,40,1492,1,4193,0.701874791
1400000US06001450501,3342,2543,201,0,481,0,2543,0.760921604
1400000US06001450502,5152,3105,50,22,1279,0,3105,0.602678571
1400000US06001450601,3419,2245,142,0,836,3,2245,0.656624744
1400000US06001450602,9252,6220,280,7,2233,31,6220,0.672287073
1400000US06001450603,4630,3068,13,0,1120,0,3068,0.662634989
1400000US06001450604,4865,3775,71,6,783,0,3775,0.775950668
1400000US06001450605,3998,2767,58,0,967,0,2767,0.692096048
1400000US06001450606,5877,3788,176,43,1407,12,3788,0.644546537
1400000US06001450607,5123,3392,350,0,1013,30,3392,0.662112044
1400000US06001450701,8245,5351,27,0,2321,0,5351,0.648999394
1400000US06001450741,5234,3951,170,6,757,0,3951,0.754871991
1400000US06001450742,4745,3455,79,0,1015,0,3455,0.728134879
1400000US06001450743,5887,2460,263,0,2898,46,2898,0.492271106
1400000US06001450744,4876,3155,82,14,1340,0,3155,0.64704676
1400000US06001450745,5829,2873,64,12,2596,55,2873,0.492880425
1400000US06001450746,3284,2879,36,4,246,10,2879,0.876674787
1400000US06001450750,3961,2095,188,0,1313,55,2095,0.528906842
1400000US06001450751,4045,1304,255,40,2280,0,2280,0.563658838
1400000US06001450752,5575,1979,221,11,2925,8,2925,0.524663677
1400000US06001451101,7024,5271,164,11,1187,2,5271,0.750427107
1400000US06001451102,4031,3244,28,9,430,60,3244,0.804763086
1400000US06001451201,6768,4908,305,17,806,0,4908,0.725177305
1400000US06001451202,3936,3104,35,8,428,5,3104,0.788617886
1400000US06001451300,7116,6244,121,0,326,26,6244,0.877459247
1400000US06001451401,6312,4936,44,19,731,0,4936,0.782002535
1400000US06001451403,2100,1646,20,0,351,0,1646,0.783809524
1400000US06001451404,6217,5078,94,0,395,0,5078,0.816792665
1400000US06001451501,4524,3744,71,0,456,0,3744,0.827586207
1400000US06001451503,5564,4242,4,37,651,0,4242,0.76240115
1400000US06001451504,1673,1405,40,0,133,16,1405,0.839808727
1400000US06001451505,3314,3087,0,0,132,0,3087,0.931502716
1400000US06001451506,3555,2804,230,0,212,0,2804,0.788748242
1400000US06001451601,5045,4226,7,8,593,13,4226,0.837661051
1400000US06001451602,6740,5637,38,8,652,33,5637,0.836350148
1400000US06001451701,2895,2408,50,8,230,0,2408,0.831778929
1400000US06001451703,4492,3277,141,32,687,15,3277,0.729519145
1400000US06001451704,4228,3945,41,10,50,0,3945,0.933065279
1400000US06001981900,28,28,0,0,0,0,28,1
1400000US06001982000,83,65,0,0,11,0,65,0.78313253
1400000US06001983200,591,304,64,2,162,6,304,0.514382403
1400000US06003010000,1202,854,11,208,12,14,854,0.710482529
1400000US06005000101,4170,3865,47,158,32,0,3865,0.926858513
1400000US06005000102,1678,1425,0,110,0,0,1425,0.849225268
1400000US06005000200,4733,4169,2,114,166,15,4169,0.880836679
1400000US06005000301,5655,3991,711,142,123,2,3991,0.705747126
1400000US06005000303,4682,4164,3,163,63,0,4164,0.88936352
1400000US06005000304,4035,3612,0,0,9,36,3612,0.895167286
1400000US06005000401,4470,4185,26,27,4,27,4185,0.936241611
1400000US06005000402,5062,4565,23,10,80,0,4565,0.901817463
1400000US06005000500,2674,2575,0,20,24,0,2575,0.962976814
1400000US06007000102,3998,3374,16,21,181,0,3374,0.843921961
1400000US06007000103,4105,3520,31,24,150,25,3520,0.857490865
1400000US06007000104,5845,4708,170,0,452,0,4708,0.805474765
1400000US06007000201,4456,3997,0,34,46,0,3997,0.896992819
1400000US06007000202,3368,2718,156,62,35,0,2718,0.807007126
1400000US06007000300,4696,3686,79,54,82,0,3686,0.784923339
1400000US06007000401,2363,1986,11,32,59,12,1986,0.840457046
1400000US06007000402,7229,6556,31,14,113,32,6556,0.906902753
1400000US06007000501,3791,3071,84,5,242,0,3071,0.810076497
1400000US06007000502,3965,2949,48,36,392,54,2949,0.743757881
1400000US06007000601,3488,3344,0,8,35,0,3344,0.958715596
1400000US06007000603,3396,2957,61,10,80,21,2957,0.870730271
1400000US06007000604,4353,3337,212,20,41,25,3337,0.766597749
1400000US06007000700,5021,4287,143,90,266,0,4287,0.853813981
1400000US06007000800,5628,4604,4,0,286,0,4604,0.818052594
1400000US06007000901,2457,2357,0,0,9,0,2357,0.959299959
1400000US06007000903,6408,4930,190,61,544,15,4930,0.769350811
1400000US06007000904,5788,5043,160,76,187,0,5043,0.871285418
1400000US06007001000,4955,4230,191,38,33,0,4230,0.853683148
1400000US06007001100,3975,3381,111,38,225,0,3381,0.850566038
1400000US06007001200,3168,2626,54,15,44,3,2626,0.828914141
1400000US06007001300,4170,3065,46,211,441,0,3065,0.73501199
1400000US06007001400,5566,5250,15,0,72,7,5250,0.943226734
1400000US06007001500,5531,5268,27,35,0,0,5268,0.952449828
1400000US06007001600,4891,4485,66,57,15,0,4485,0.916990391
1400000US06007001702,5255,4843,0,0,0,10,4843,0.921598478
1400000US06007001703,2938,2699,0,14,0,0,2699,0.918652144
1400000US06007001704,3390,3205,0,103,0,0,3205,0.945427729
1400000US06007001800,5791,5398,5,66,65,0,5398,0.932136073
1400000US06007001900,3549,3286,18,7,48,55,3286,0.925894618
1400000US06007002000,5663,5241,0,77,96,0,5241,0.925481194
1400000US06007002100,4671,4303,63,19,41,13,4303,0.921216014
1400000US06007002200,4434,4176,26,13,87,0,4176,0.941813261
1400000US06007002300,5088,4846,14,20,0,0,4846,0.952437107
1400000US06007002400,5048,4391,42,79,43,0,4391,0.869849445
1400000US06007002500,5223,3481,328,59,772,0,3481,0.666475206
1400000US06007002601,2435,1936,48,46,18,0,1936,0.795071869
1400000US06007002602,3546,3257,31,45,66,0,3257,0.918499718
1400000US06007002700,5480,4223,15,278,299,0,4223,0.770620438
1400000US06007002800,4164,2642,280,95,147,0,2642,0.634486071
1400000US06007002900,3209,2148,3,15,677,22,2148,0.669367404
1400000US06007003001,3649,2122,62,142,841,0,2122,0.581529186
1400000US06007003002,3501,2516,14,22,567,18,2516,0.718651814
1400000US06007003100,4469,3563,158,114,230,11,3563,0.797270083
1400000US06007003200,4012,3234,13,59,9,0,3234,0.806081755
1400000US06007003300,4511,3552,149,224,101,0,3552,0.787408557
1400000US06007003400,2990,2436,47,3,158,19,2436,0.814715719
1400000US06007003501,3068,2380,8,62,127,17,2380,0.775749674
1400000US06007003502,4581,3282,12,18,54,0,3282,0.716437459
1400000US06007003600,3390,2606,6,19,146,11,2606,0.768731563
1400000US06007003700,4912,3582,0,127,762,0,3582,0.729234528
1400000US06009000120,5213,4920,18,0,101,0,4920,0.94379436
1400000US06009000121,4290,4091,0,23,15,0,4091,0.953613054
1400000US06009000122,4117,3916,31,2,0,0,3916,0.951178042
1400000US06009000210,10092,9337,33,141,211,0,9337,0.925188268
1400000US06009000220,5685,4828,2,60,17,25,4828,0.849252419
1400000US06009000300,6333,5374,206,61,145,100,5374,0.848570977
